Year,Month,District,Region,Estimated_Population,Confirmed_Malaria_Cases,Incidence_per_1000,Incidence_per_100,Rainfall_mm,Temperature_C,RH_percent,Month_Num,Rainfall_lag1,Rainfall_lag2,Cases_lag1,Cases_lag2
2015,March,Buea,Southwest,152000,474,3.12,0.31,0.03954107764802295,0.7358490566037732,0.5429864253393668,3,0.045687359147715635,0.004097520999795124,0.07132867132867132,0.10069930069930069
2015,April,Buea,Southwest,152000,532,3.5,0.35,0.06064331079696783,0.6981132075471699,0.5882352941176472,4,0.03954107764802295,0.045687359147715635,0.1545454545454545,0.07132867132867132
2015,May,Buea,Southwest,152000,577,3.8,0.38,0.12743290309362837,0.6981132075471699,0.6244343891402715,5,0.06064331079696783,0.03954107764802295,0.19510489510489512,0.1545454545454545
2015,June,Buea,Southwest,152000,743,4.89,0.49,0.3060848186846958,0.35849056603773555,0.8461538461538467,6,0.12743290309362837,0.06064331079696783,0.22657342657342658,0.19510489510489512
2015,July,Buea,Southwest,152000,762,5.02,0.5,0.19319811514034008,0.301886792452831,0.8371040723981906,7,0.3060848186846958,0.12743290309362837,0.3426573426573426,0.22657342657342658
2015,August,Buea,Southwest,152000,829,5.45,0.55,0.17721778324113913,0.2641509433962259,0.8733031674208149,8,0.19319811514034008,0.3060848186846958,0.35594405594405587,0.3426573426573426
2015,September,Buea,Southwest,152000,845,5.56,0.56,0.21757836508912107,0.33962264150943433,0.8280542986425337,9,0.17721778324113913,0.19319811514034008,0.40279720279720277,0.35594405594405587
2015,October,Buea,Southwest,152000,759,4.99,0.5,0.23868059823806598,0.43396226415094397,0.8506787330316747,10,0.21757836508912107,0.17721778324113913,0.413986013986014,0.40279720279720277
2015,November,Buea,Southwest,152000,604,3.97,0.4,0.20631018233968448,0.5660377358490569,0.7013574660633486,11,0.23868059823806598,0.21757836508912107,0.3538461538461538,0.413986013986014
2015,December,Buea,Southwest,152000,414,2.73,0.27,0.002458512599877074,0.6415094339622645,0.2624434389140271,12,0.20631018233968448,0.23868059823806598,0.24545454545454545,0.3538461538461538
2016,January,Buea,Southwest,155800,388,2.49,0.25,0.0032780167998360987,0.8301886792452828,0.21719457013574672,1,0.002458512599877074,0.20631018233968448,0.11258741258741259,0.24545454545454545
